Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
anneal-preprocessed;DPSO (Grid-Search Best);3;2500;100%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;218.35365676879883;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);4;625;25%;c1:2.5,c2:2.5;0.06431934887162413;0.9385691823899371;10;51.58983111381531;1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);4;1250;50%;c1:2.5,c2:2.5;0.06431934887162413;0.9385691823899371;10;107.2163028717041;1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);4;1875;75%;c1:2.5,c2:2.5;0.06431934887162413;0.9385691823899371;10;163.42579865455627;1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);4;2500;100%;c1:2.5,c2:2.5;0.06431934887162413;0.9385691823899371;10;220.2099962234497;1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);5;625;25%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;47.79839491844177;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);5;1250;50%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;102.28035306930542;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);5;1875;75%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;157.8544056415558;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);5;2500;100%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;213.78646755218506;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);6;625;25%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;48.69767761230469;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);6;1250;50%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;103.3572461605072;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);6;1875;75%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;158.79604697227478;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);6;2500;100%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;214.77479600906372;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);7;625;25%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;45.64798450469971;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);7;1250;50%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;100.15656995773315;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
